2,
1,2,1,0,0,0,10,0,0,testtest,0,Airdrie,
1,0,1,1,empty,0,2020,1,2,3,4,2100,1,2,3,4,1,0,
2,0,2,2,empty,1,2020,1,2,3,4,2100,1,2,3,4,1,0,
3,0,2,2,empty,1,2020,1,2,3,4,2100,1,2,3,4,1,0,
4,0,3,3,empty,2,2020,1,2,3,4,2100,1,2,3,4,1,0,
5,0,3,3,empty,2,2020,1,2,3,4,2100,1,2,3,4,1,0,
6,0,3,3,empty,2,2020,1,2,3,4,2100,1,2,3,4,1,0,
7,0,4,4,empty,3,2020,1,2,3,4,2100,1,2,3,4,1,0,
8,0,4,4,empty,3,2020,1,2,3,4,2100,1,2,3,4,1,0,
9,1,4,4,ad,3,2020,1,2,3,4,2100,1,2,3,4,1,0,
10,1,4,4,adjsajdadjas,3,2020,1,2,3,4,2100,1,2,3,4,1,0,
1,1,4,0,0,0,10,0,0,GOODBYETHERE,0,Beaumont,
1,1,1,10,df,0,2020,1,2,3,4,2100,1,2,3,4,0,0,
2,1,2,20,sdasddas,1,2020,1,2,3,4,2100,1,2,3,4,0,0,
3,1,2,20,awdad,1,2020,1,2,3,4,2100,1,2,3,4,0,0,
4,1,3,30,awdfasd,2,2020,1,2,3,4,2100,1,2,3,4,0,0,
5,1,3,30,awdfasd,2,2020,1,2,3,4,2100,1,2,3,4,0,0,
6,1,3,30,adawd,2,2020,1,2,3,4,2100,1,2,3,4,0,0,
7,1,4,40,waewaddawdaw,3,2020,1,2,3,4,2100,1,2,3,4,0,0,
8,1,4,40,waewaddawdaw,3,2020,1,2,3,4,2100,1,2,3,4,0,0,
9,1,4,40,awdadsa,3,2020,1,2,3,4,2100,1,2,3,4,0,0,
10,1,4,40,eiweia,3,2020,1,2,3,4,2100,1,2,3,4,0,0,
